Season,Competition,Round,Club,1st Leg,2nd Leg,Home,Away,Aggregate
,UEFA Cup,QR,CSKA Sofia,,,,,
2003.0,UEFA Intertoto Cup,1R,Omagh Town,,,,,
2003.0,UEFA Intertoto Cup,2R,Cibalia,,,,,
,UEFA Cup,1Q,Nistru Otaci,,,,,
,UEFA Champions League,1Q,Široki Brijeg,,,,,
2007.0,UEFA Intertoto Cup,1R,Ararat Yerevan,,,,,
2007.0,UEFA Intertoto Cup,2R,Chornomorets Odesa,,,,,
2008.0,UEFA Intertoto Cup,1R,Cracovia Krakow,,,,,
2008.0,UEFA Intertoto Cup,2R,Sturm Graz,,,,,
,UEFA Europa League,2Q,Ventspils,,,,,
,UEFA Europa League,2Q,Ried,,,,,
,UEFA Europa League,2Q,Milsami,,,,,
,UEFA Cup Winners' Cup,Qualifying round,Kotayk Abovian,,,,,
,UEFA Cup Winners' Cup,First round,Barcelona,,,,,
,UEFA Cup,Second qualifying round,Maccabi Petah Tikva,,,,,
,UEFA Europa League,Second qualifying round,Floriana,,,,,
,UEFA Europa League,Third qualifying round,Mladá Boleslav,,,,,
,UEFA Europa League,Play-off round,Rosenborg,,,,,
,UEFA Europa League,Group stage (J),Maccabi Haifa,,,,,4th place
,UEFA Europa League,Group stage (J),Steaua Bucureşti,,,,,4th place
,UEFA Europa League,Group stage (J),Schalke 04,,,,,4th place
